source_group,num_candidates,num_auto_success,num_auto_medium_hard_failure,auto_same_source_pair_capacity,requires_visual_relabel
BLENDER_DESERT004,12,11,1,1,True
BLENDER_FOREST009,12,1,0,0,True
BLENDER_FOREST013,12,0,8,0,True
BLENDER_FOREST015,12,0,11,0,True
BLENDER_FOREST017,12,12,0,0,True
BLENDER_FOREST018,12,12,0,0,True
BLENDER_FOREST021,12,0,12,0,True
BLENDER_FOREST023,12,4,0,0,True
BLENDER_FOREST026,8,6,2,2,True
BLENDER_FOREST028,12,9,0,0,True
BLENDER_FOREST030,12,0,12,0,True
BLENDER_FOREST049,12,0,6,0,True
BLENDER_GRASS001,8,4,4,4,True
BLENDER_GRASS002,12,2,9,2,True
BLENDER_MOUNTAIN002,8,6,1,1,True
BLENDER_MOUNTAIN007,12,0,2,0,True
BLENDER_MOUNTAIN011,12,0,12,0,True
BLENDER_OFFICE002,12,11,0,0,True
BLENDER_RIVER004,12,0,12,0,True
BLENDER_RIVER012,12,0,12,0,True
BLENDER_SCHOOL004,12,8,1,1,True
BLENDER_STREET001,12,0,8,0,True
REAL_ENV045_00001,12,0,0,0,True
REAL_ENV046_00003,12,0,9,0,True
REAL_ENV047_00001,12,11,0,0,True
REAL_ENV059_00001,8,5,3,3,True
REAL_ENV067_00002,12,0,8,0,True
REAL_ENV068_00002,8,2,6,2,True
REAL_ENV080_00003,12,3,9,3,True
REAL_ENV086_00002,12,0,12,0,True
REAL_ENV097_00001,8,5,1,1,True
REAL_ENV099_00001,12,0,12,0,True
REAL_ENV103_00001,12,0,12,0,True
REAL_ENV103_00003,12,0,12,0,True
REAL_ENV104_00003,12,0,4,0,True
REAL_ENV105_00001,8,4,4,4,True
REAL_ENV105_00002,12,11,1,1,True
REAL_ENV105_00003,12,0,12,0,True
REAL_ENV105_00004,12,11,1,1,True
REAL_ENV144_00001,12,0,12,0,True
