question,answer,status
policy_model,CogVideoXTransformer3DModel loaded from the CogVideoX-Fun transformer subfolder; VOID pass checkpoints are transformer safetensors.,VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
trainable_modules,"Only transformer3d parameters whose names match --trainable_modules or --trainable_modules_low_learning_rate are enabled. Official train_void*.sh passes --trainable_modules ""."", which effectively makes the transformer trainable.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
frozen_modules,"VAE and T5 text_encoder are explicitly requires_grad_(False). Transformer is first frozen, then selected modules are re-enabled.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
target_parameterization,"DDPMScheduler training target is epsilon if scheduler prediction_type is epsilon, or scheduler.get_velocity(latents, noise, timesteps) for v_prediction.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
loss_function,Primary loss is mean MSE between transformer noise_pred and target. Optional motion_sub_loss adds temporal difference MSE.,VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
quadmask_encoding,"Dataset quantizes masks to [0, 63, 127, 255] under --use_quadmask. Conversion code defines 0 pure remove, 63 object+affected overlap, 127 affected/modify outside object, 255 keep.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
pass1_pass2_relation,Pass1 is standard VOID/CogVideoX inpaint training/inference. Pass2 warped-noise path requires a pass1 checkpoint and injects optical-flow-warped noise generated from pass1 outputs.,VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
freeze_reference,"Official code freezes VAE/text encoder and can freeze arbitrary transformer subsets by trainable_modules selection. It does not implement a separate DPO reference policy, but a frozen reference copy is feasible in isolated code.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
one_step_optimizer,Feasible via --max_train_steps=1 because train.py and train_warped_noise.py expose max_train_steps and run optimizer.step/lr_scheduler.step in the loop.,VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
save_reload_checkpoint,Feasible. The code registers accelerate save/load hooks that save transformer/transformer_ema plus sampler_pos_start.pkl and supports resume_from_checkpoint.,VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
lovi_dpo_adapter,"Not out-of-box. LoRA utilities exist and inference can merge LoRA, but official training scripts are MSE SFT-style, not LoVI-DPO preference training. A DPO adapter would require isolated implementation after smoke gates.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
inference_only_baseline,"No. It is not inference-only; official train.py/train_warped_noise.py include trainable forward, optimizer, checkpointing, and resume.",VOID_TRAINING_FORWARD_HEAVY_BUT_POSSIBLE
